time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:35:54.667000,118_adjust_1-2,0,0.0002,-0.0003,0.0002,0.2626,0.1224,0.0304,99.43,0.00,0.00,0.0000,0.99,-16.08,0,-0.0042,0.0038,-0.0074,0.1362,-0.00,0.00,-0.0090,0.0198
2022-11-11T11:35:58.742000,118_adjust_1,0,-0.0002,0.0000,0.0002,0.2625,0.1225,0.0304,99.39,0.00,0.00,0.0000,0.96,-14.15,0,-0.0045,0.0036,-0.0074,0.1361,-0.01,0.00,-0.0089,0.0200
2022-11-11T11:36:04.422000,119_initial,0,0.0509,0.1361,-0.0318,0.2634,0.1228,0.0304,99.62,0.15,-0.09,0.0000,1.85,86.85,0,0.0478,0.1246,-0.0405,0.1359,-0.22,-0.23,-0.0416,0.0198
2022-11-11T11:36:09.990000,119_adjust_3-1,0,0.0007,-0.0032,0.0006,0.2629,0.1227,0.0306,99.44,-0.01,0.03,0.0000,0.97,91.27,0,-0.0013,-0.0113,-0.0080,0.1358,-0.01,0.03,-0.0094,0.0196
2022-11-11T11:36:15.627000,119_adjust_1-2,0,0.0000,0.0004,-0.0002,0.2628,0.1229,0.0310,99.32,-0.00,0.00,0.0000,1.02,84.32,0,-0.0031,-0.0077,-0.0087,0.1361,-0.01,0.00,-0.0103,0.0195
2022-11-11T11:36:20.272000,119_adjust_1,0,0.0001,0.0001,-0.0001,0.2630,0.1228,0.0308,99.40,0.00,0.00,0.0000,1.00,90.87,0,-0.0019,-0.0086,-0.0086,0.1362,-0.00,0.00,-0.0102,0.0197
2022-11-11T11:36:27.409000,120_initial,0,0.0624,-0.0289,-0.0178,0.1944,0.0637,-0.0417,100.36,-0.20,-0.06,0.0000,6.80,99.62,0,0.0653,-0.0389,-0.0224,0.1218,-0.18,-0.11,-0.0234,0.0161
2022-11-11T11:36:33.470000,120_adjust_3-1,0,0.0005,0.0018,0.0002,0.1944,0.0639,-0.0409,100.18,0.00,0.01,0.0000,6.84,96.83,0,0.0026,-0.0082,-0.0044,0.1217,-0.00,0.01,-0.0052,0.0136
2022-11-11T11:36:39.382000,120_adjust_1-2,0,-0.0002,0.0000,0.0000,0.1947,0.0635,-0.0428,100.70,0.00,0.00,0.0000,6.96,96.92,0,0.0022,-0.0101,-0.0046,0.1217,-0.00,0.00,-0.0054,0.0145
2022-11-11T11:36:44.090000,120_adjust_1,0,-0.0002,0.0001,0.0000,0.1946,0.0638,-0.0416,100.39,0.00,-0.00,0.0000,6.94,97.91,0,0.0024,-0.0098,-0.0046,0.1211,-0.01,0.00,-0.0055,0.0149
2022-11-11T11:36:50.083000,121_initial,0,0.0584,0.0260,-0.0247,0.1932,0.0661,-0.0304,97.27,-0.17,-0.08,0.0000,7.29,92.40,0,0.0550,0.0098,-0.0290,0.1256,-0.19,-0.12,-0.0298,0.0119
2022-11-11T11:36:55.959000,121_adjust_3-1,0,-0.0003,-0.0011,0.0006,0.1932,0.0660,-0.0307,97.38,-0.00,0.01,0.0000,6.92,95.51,0,-0.0028,-0.0170,-0.0036,0.1261,0.00,0.00,-0.0046,0.0113
2022-11-11T11:37:02.016000,121_adjust_1-2,0,-0.0000,0.0007,-0.0005,0.1931,0.0663,-0.0297,97.08,0.00,0.00,0.0000,7.11,96.62,0,-0.0024,-0.0152,-0.0048,0.1261,0.00,0.00,-0.0058,0.0112
2022-11-11T11:37:06.333000,121_adjust_1,0,-0.0001,-0.0006,0.0004,0.1931,0.0662,-0.0300,97.14,-0.00,0.00,0.0000,6.96,95.43,0,-0.0031,-0.0163,-0.0039,0.1259,0.00,0.00,-0.0048,0.0116
2022-11-11T11:37:11.937000,122_initial,0,0.0550,0.0725,-0.0276,0.2635,0.1217,0.0284,100.13,-0.08,-0.12,0.0000,1.17,103.26,0,0.0569,0.0652,-0.0355,0.1339,-0.29,-0.27,-0.0365,0.0196
2022-11-11T11:37:17.288000,122_adjust_3-1,0,0.0005,-0.0004,-0.0004,0.2634,0.1216,0.0282,100.13,0.04,0.02,0.0000,0.92,105.03,0,0.0017,-0.0048,-0.0083,0.1336,0.03,0.02,-0.0096,0.0191
2022-11-11T11:37:22.665000,122_adjust_1-2,0,0.0013,0.0000,-0.0008,0.2633,0.1217,0.0284,100.07,0.00,0.00,0.0000,0.86,97.22,0,0.0030,-0.0045,-0.0086,0.1338,-0.01,-0.00,-0.0100,0.0193
2022-11-11T11:37:26.750000,122_adjust_1,0,-0.0003,-0.0000,0.0002,0.2633,0.1216,0.0282,100.14,0.00,0.00,0.0000,0.92,100.37,0,0.0012,-0.0050,-0.0077,0.1338,-0.01,0.00,-0.0091,0.0193
2022-11-11T11:37:32.661000,123_initial,0,0.0499,0.1312,-0.0262,0.2627,0.1222,0.0298,99.60,0.12,-0.15,0.0000,1.80,101.27,0,0.0541,0.1219,-0.0347,0.1348,-0.25,-0.28,-0.0357,0.0212
2022-11-11T11:37:37.993000,123_adjust_3-1,0,0.0038,-0.0017,-0.0010,0.2621,0.1225,0.0307,99.23,0.01,0.02,0.0000,0.80,115.82,0,0.0073,-0.0070,-0.0093,0.1340,0.01,0.01,-0.0108,0.0194
2022-11-11T11:37:43.276000,123_adjust_1-2,0,-0.0005,0.0001,0.0004,0.2625,0.1220,0.0295,99.60,0.00,0.00,0.0000,0.94,112.83,0,0.0018,-0.0047,-0.0080,0.1334,-0.01,-0.00,-0.0094,0.0196
2022-11-11T11:37:47.099000,123_adjust_1,0,-0.0001,0.0001,0.0002,0.2622,0.1222,0.0300,99.43,0.00,0.00,0.0000,1.02,110.84,0,0.0036,-0.0055,-0.0081,0.1339,-0.01,0.00,-0.0096,0.0194
2022-11-11T11:37:53.711000,124_initial,0,0.0676,-0.0293,-0.0143,0.1933,0.0639,-0.0382,99.26,-0.19,-0.04,0.0000,6.68,82.74,0,0.0659,-0.0401,-0.0189,0.1191,-0.18,-0.11,-0.0204,0.0249
2022-11-11T11:37:59.027000,124_adjust_3-1,0,0.0006,0.0009,0.0005,0.1934,0.0638,-0.0388,99.43,-0.01,0.01,0.0000,6.79,80.60,0,-0.0012,-0.0105,-0.0041,0.1200,-0.02,0.00,-0.0054,0.0235
2022-11-11T11:38:04.427000,124_adjust_1-2,0,0.0004,-0.0000,-0.0001,0.1934,0.0639,-0.0383,99.31,0.00,0.00,0.0000,6.96,79.85,0,-0.0020,-0.0124,-0.0047,0.1201,-0.00,-0.00,-0.0060,0.0233
2022-11-11T11:38:08.451000,124_adjust_1,0,0.0000,0.0001,-0.0001,0.1934,0.0639,-0.0385,99.34,0.01,0.00,0.0000,6.94,81.04,0,-0.0020,-0.0124,-0.0047,0.1203,0.00,-0.01,-0.0059,0.0230
